546,5.098657,0.000112,0.024090,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,546,545,0,0
573,5.277670,0.000111,0.023926,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,573,572,0,0
601,5.593577,0.000118,0.023760,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,601,600,0,0
628,5.848095,0.000064,0.023861,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,628,627,0,0
655,6.092186,0.000057,0.024014,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,655,654,0,0
682,6.276985,0.000046,0.023845,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,682,681,0,0
723,6.506068,0.000000,0.014142,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,723,722,0,11
750,6.707667,0.000000,0.014142,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,750,749,0,11
779,7.099770,-0.000007,0.023738,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,779,778,0,11
806,7.280795,-0.000002,0.023741,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,806,805,0,11
834,7.506653,0.000000,0.014142,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,834,833,0,11
861,7.710424,0.000000,0.014142,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,861,860,0,11
890,8.097662,0.000033,0.023623,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,890,889,0,11
917,8.280541,-0.000024,0.023639,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,917,916,0,11
946,8.602003,-0.000049,0.023632,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,946,945,0,11
972,8.847817,0.000000,0.014142,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,972,971,0,11
999,9.098641,-0.000018,0.023781,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,999,998,0,11
1026,9.278914,0.000004,0.023578,-0.006000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1026,1025,0,11
1062,9.595502,-0.000039,0.023562,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1062,1061,0,15
1089,9.848836,0.000022,0.023305,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1089,1088,0,15
1116,10.095852,0.000043,0.022106,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1116,1115,0,15
1143,10.282635,-0.000018,0.018120,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1143,1142,0,15
1171,10.596549,-0.000087,0.012877,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1171,1170,0,15
1198,10.727966,-0.000092,0.007690,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1198,1197,0,15
1226,11.100706,-0.000075,0.003317,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1226,1225,0,15
1253,11.276195,-0.000096,0.000165,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1253,1252,0,15
1282,11.594099,-0.000132,0.002307,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1282,1281,0,17
1309,11.771364,0.000000,0.000000,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1309,1308,0,17
1336,11.969860,0.000000,0.000000,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1336,1335,0,17
1363,12.167172,0.000000,0.000000,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1363,1362,0,17
1393,12.573459,0.000000,0.000000,0.003000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1393,1392,0,17
1420,12.768605,-0.110000,0.110000,0.015000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1420,1419,0,17
1447,12.967010,-0.210000,0.210000,0.049000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1447,1446,0,17
1474,13.169374,-0.330000,0.330000,0.103000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1474,1473,0,17
1504,13.572969,-1.230000,1.230000,0.448000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1504,1503,0,17
1531,13.769444,-1.160000,1.160000,0.676000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1531,1530,0,17
1558,13.968150,-1.300000,1.300038,0.922000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1558,1557,0,17
1585,14.168857,-1.500000,1.500033,1.211000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1585,1584,0,17
1615,14.572785,-1.900000,1.900000,1.910000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1615,1614,0,17
1642,14.767474,-2.110000,2.110000,2.320000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1642,1641,0,17
1669,14.970164,-2.112774,2.112775,2.320000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1669,1668,0,17
1698,15.173422,-2.450000,2.450000,3.255000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1698,1697,0,17
1728,15.566832,-2.530000,2.530020,4.273000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1728,1727,0,17
1755,15.770276,-2.520000,2.520020,4.788000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1755,1754,0,17
1782,15.972034,-2.500000,2.500020,5.298000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1782,1781,0,17
1809,16.172741,-2.480000,2.480020,5.805000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1809,1808,0,17
1839,16.570185,-2.430000,2.430021,6.805000,6,10,,,,,,,0.150000,0.050000,2,0.000000,0.000000,0,0,0,1,,0.000000,1839,1838,0,17
