235,14.602411,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,235,234,0,0
260,14.850284,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,260,259,0,0
286,15.108030,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,286,285,0,0
312,15.355141,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,312,311,0,0
337,15.604954,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,337,336,0,0
362,15.854792,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,362,361,0,0
388,16.100893,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,388,387,0,0
413,16.355574,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,413,412,0,0
438,16.603567,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,438,437,0,0
463,16.850945,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,463,462,0,0
497,17.105909,0.000000,0.000000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,497,496,0,0
523,17.355966,0.000000,0.000000,-0.003000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,523,522,0,0
548,17.608164,0.000000,0.000000,-0.007000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,548,547,0,0
573,17.857897,0.000000,0.000000,-0.008000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,573,572,0,0
599,18.105072,0.000000,0.000000,-0.007000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,599,598,0,0
624,18.356553,0.000000,0.000000,-0.006000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,624,623,0,0
649,18.602055,0.000000,0.000000,-0.004000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,649,648,0,0
674,18.854859,0.000000,0.000000,-0.003000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,674,673,0,0
700,19.106207,0.000000,0.010000,-0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,700,699,0,0
725,19.353959,0.000000,0.010000,-0.001000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,725,724,0,0
750,19.605533,0.000000,0.010000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,750,749,0,0
775,19.856796,0.000000,0.010000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,775,774,0,0
801,20.104930,0.000000,0.010000,0.000000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,801,800,0,0
826,20.357557,0.000000,0.010000,0.001000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,826,825,0,0
851,20.606075,0.000000,0.014142,0.001000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,851,850,0,0
876,20.854188,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,876,875,0,0
902,21.107736,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,902,901,0,0
927,21.359204,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,927,926,0,0
952,21.608959,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,952,951,0,0
977,21.857127,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,977,976,0,0
1003,22.108187,0.000000,0.014142,0.003000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1003,1002,0,0
1028,22.353413,0.000000,0.014142,0.003000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1028,1027,0,0
1053,22.604131,0.000000,0.014142,0.003000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1053,1052,0,0
1078,22.857747,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1078,1077,0,0
1104,23.106553,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1104,1103,0,0
1129,23.360752,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1129,1128,0,0
1154,23.607399,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1154,1153,0,0
1179,23.860497,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1179,1178,0,0
1205,24.107868,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1205,1204,0,0
1230,24.357083,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1230,1229,0,0
1255,24.607249,0.000000,0.014142,0.002000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1255,1254,0,0
1280,24.854675,0.000000,0.014142,0.001000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1280,1279,0,0
1306,25.103647,0.000000,0.014142,0.001000,6,10,,,,,,,0.250000,0.100000,3,0.003000,1.500000,0,0,0,1,,0.000000,1306,1305,0,0
